Title,Year,Age,IMDb,Rotten Tomatoes
Santa Clarita Diet,2017,18+,7.8/10,79/100
Reign,2013,16+,7.5/10,78/100
Maniac,2018,18+,7.8/10,78/100
Dark Matter,2015,18+,7.5/10,78/100
Star Trek: Voyager,1995,7+,7.8/10,78/100
"Tiger King: Murder, Mayhem and Madness",2020,18+,7.6/10,78/100
Call the Midwife,2012,16+,8.4/10,78/100
Queer Eye,2018,16+,8.5/10,78/100
American Vandal,2017,16+,8.2/10,78/100
Wynonna Earp,2016,16+,7.5/10,78/100
Marvel's The Defenders,2017,18+,7.3/10,78/100
HAPPY!,2017,18+,8.2/10,77/100
Haikyu!!,2014,16+,8.7/10,77/100
Colony,2016,16+,7.4/10,77/100
Heartland,2007,7+,8.4/10,77/100
Alone,2015,16+,8.4/10,77/100
Marco Polo,2014,18+,8.0/10,77/100
Wild Wild Country,2018,16+,8.1/10,77/100
The Dragon Prince,2018,7+,8.4/10,77/100
Locke & Key,2020,16+,7.4/10,77/100
Love,2016,18+,7.7/10,77/100
One Day at a Time,2017,7+,8.2/10,77/100
Feel Good,2020,18+,7.5/10,77/100
Fauda,2015,16+,8.2/10,77/100
The Dark Crystal: Age of Resistance,2019,7+,8.4/10,77/100
Top Boy,2011,18+,8.4/10,77/100
I Am Not Okay with This,2020,18+,7.5/10,77/100
Supergirl,2015,16+,6.2/10,77/100
The Shannara Chronicles,2016,16+,7.2/10,77/100
Designated Survivor,2016,7+,7.5/10,77/100
Travelers,2016,16+,8.1/10,77/100
StartUp,2016,18+,7.9/10,77/100
Ripper Street,2012,18+,8.1/10,77/100
Episodes,2011,18+,7.8/10,77/100
Crazy Ex-Girlfriend,2015,16+,7.8/10,76/100
Bloodline,2015,18+,7.9/10,76/100
Black Summer,2019,18+,6.5/10,76/100
The Borgias,2011,18+,7.9/10,76/100
Glee,2009,16+,6.7/10,76/100
The Stranger,2020,18+,7.3/10,76/100
Virgin River,2019,16+,7.4/10,76/100
Lilyhammer,2012,18+,8.0/10,76/100
Dirty John,2018,18+,7.2/10,76/100
TURN: Washington's Spies,2014,16+,8.1/10,76/100
Star Trek: Enterprise,2001,7+,7.5/10,76/100
She-Ra and the Princesses of Power,2018,all,7.9/10,75/100
Merlin,2008,7+,7.9/10,75/100
The Magicians,2015,16+,7.6/10,75/100
Ginny & Georgia,2021,16+,7.5/10,75/100
The Spy,2019,18+,7.9/10,75/100
On My Block,2018,16+,8.0/10,75/100
The Movies That Made Us,2019,18+,7.8/10,75/100
Chef's Table,2015,all,8.5/10,75/100
Biohackers,2020,18+,6.8/10,75/100
The Seven Deadly Sins,2014,16+,8.0/10,75/100
The Keepers,2017,16+,8.1/10,75/100
F is for Family,2015,18+,8.0/10,74/100
The Midnight Gospel,2020,18+,8.2/10,74/100
Ragnarok,2020,18+,7.5/10,74/100
Legacies,2018,16+,7.4/10,74/100
The Order,2019,18+,6.8/10,74/100
Disenchantment,2018,16+,7.2/10,74/100
Dead Set,2008,18+,7.6/10,74/100
Dirty Money,2018,16+,8.1/10,74/100
The Staircase,2005,16+,7.9/10,74/100
Soul Eater,2008,16+,7.8/10,74/100
Into the Night,2020,18+,7.1/10,74/100
The Haunting of Bly Manor,2020,,7.4/10,74/100
Julie and the Phantoms,2020,7+,8.5/10,74/100
Leyla ile Mecnun,2011,7+,9.1/10,74/100
Living with Yourself,2019,18+,7.2/10,74/100
Young Royals,2021,,8.6/10,74/100
Hilda,2018,7+,8.6/10,74/100
The Mechanism,2018,18+,8.4/10,74/100
ERASED,2016,16+,8.5/10,74/100
Formula 1: Drive to Survive,2019,16+,8.6/10,74/100
Don't F**k with Cats: Hunting an Internet Killer,2019,18+,8.0/10,74/100
Kim's Convenience,2016,16+,8.2/10,73/100
The Society,2019,18+,7.1/10,73/100
Imposters,2017,16+,7.8/10,73/100
Frequency,2016,7+,7.5/10,73/100
Wentworth,2013,18+,8.6/10,73/100
Marvel's Iron Fist,2017,18+,6.5/10,73/100
Bleach,2004,18+,8.1/10,73/100
Quantico,2015,16+,6.7/10,73/100
Shooter,2016,16+,7.5/10,73/100
Pokémon,1997,7+,7.5/10,73/100
Hollywood,2020,18+,7.5/10,73/100
Madam Secretary,2014,16+,7.6/10,73/100
Last Tango in Halifax,2012,16+,8.3/10,73/100
Safe,2018,18+,7.3/10,73/100
Resurrection: Ertugrul,2014,16+,8.0/10,73/100
Versailles,2015,18+,7.9/10,73/100
Sex/Life,2021,18+,5.4/10,73/100
Fullmetal Alchemist,2003,16+,8.5/10,73/100
Marianne,2019,18+,7.5/10,73/100
Five Came Back,2017,16+,8.3/10,73/100
Miraculous: Tales of Ladybug & Cat Noir,2015,7+,7.7/10,73/100
Abstract: The Art of Design,2017,16+,8.4/10,73/100
Teenage Bounty Hunters,2020,18+,7.7/10,72/100
Documentary Now!,2015,18+,8.1/10,72/100
Special,2019,18+,7.6/10,72/100
JoJo's Bizarre Adventure,2012,18+,8.4/10,72/100
Manhunt,2017,16+,8.1/10,72/100
Your Lie in April,2014,7+,8.6/10,72/100
Code Geass: Lelouch of the Rebellion,2006,18+,8.7/10,72/100
Middleditch & Schwartz,2020,18+,8.6/10,72/100
Zoo,2015,16+,6.7/10,72/100
Jupiters Legacy,2021,18+,6.7/10,72/100
Ratched,2020,18+,7.3/10,72/100
Babylon Berlin,2017,18+,8.4/10,72/100
Better Than Us,2018,,7.4/10,72/100
Everything Sucks!,2018,16+,7.5/10,72/100
Evil Genius,2018,18+,7.5/10,72/100
Doctor Foster,2015,16+,7.7/10,72/100
Marcella,2016,18+,7.4/10,72/100
Survivor,2000,7+,7.2/10,72/100
Derek,2013,7+,8.0/10,72/100
Flowers,2016,,8.2/10,72/100
3%,2016,18+,7.4/10,72/100
Tuca & Bertie,2019,18+,7.4/10,72/100
Kuroko's Basketball,2012,,8.3/10,72/100
Parasyte -the maxim-,2014,18+,8.3/10,72/100
Last Chance U,2016,16+,8.4/10,71/100
Trailer Park Boys,2001,18+,8.5/10,71/100
Black Lightning,2018,16+,6.1/10,71/100
Chicago Med,2015,16+,7.6/10,71/100
How to Sell Drugs Online (Fast),2019,18+,7.9/10,71/100
Secret City,2016,18+,7.4/10,71/100
Dynasty,2017,16+,7.3/10,71/100
Dracula,2020,18+,6.8/10,71/100
Delhi Crime,2019,,8.5/10,71/100
Space Force,2020,18+,6.7/10,71/100
Pretend It's a City,2021,16+,8.1/10,71/100
Masters of the Universe: Revelation,2021,7+,4.9/10,71/100
iCarly,2007,all,6.7/10,71/100
Who Killed Sara?,2021,18+,6.4/10,71/100
Sword Art Online,2012,18+,7.6/10,71/100
Paranormal,2020,7+,8.5/10,71/100
Frontier,2016,18+,7.2/10,71/100
The Politician,2019,16+,7.5/10,71/100
Raising Dion,2019,7+,7.2/10,71/100
Food Wars! Shokugeki no Soma,2015,18+,8.2/10,71/100
Crash Landing on You,2019,16+,8.7/10,71/100
Seven Seconds,2018,18+,7.7/10,71/100
The Great British Bake Off,2010,7+,8.5/10,70/100
Wizards: Tales of Arcadia,2020,7+,8.2/10,70/100
Conversations with a Killer: The Ted Bundy Tapes,2019,18+,7.8/10,70/100
Lenox Hill,2020,,8.7/10,70/100
Fate: The Winx Saga,2021,18+,6.9/10,70/100
The Circle,2020,18+,7.3/10,70/100
Cheer,2020,16+,8.1/10,70/100
Hemlock Grove,2013,18+,7.1/10,70/100
Transformers: War for Cybertron: Siege,2020,16+,7.4/10,70/100
Explained,2018,16+,8.0/10,70/100
Messiah,2020,18+,7.6/10,70/100
Sky Rojo,2021,18+,6.5/10,70/100
Bonding,2019,18+,7.2/10,70/100
I'm Sorry,2017,7+,8.0/10,70/100
Katla,2021,18+,7.1/10,70/100
It's Okay to Not Be Okay,2020,16+,8.8/10,70/100
Forensic Files,1996,16+,8.8/10,70/100
Workin' Moms,2017,18+,7.6/10,70/100
The Toys That Made Us,2017,16+,8.1/10,70/100
The Devil Next Door,2019,18+,7.6/10,70/100
Kipo and the Age of Wonderbeasts,2020,7+,8.4/10,70/100
"Roswell, New Mexico",2019,16+,6.2/10,70/100
Night Stalker: The Hunt For a Serial Killer,2021,18+,7.5/10,70/100
Glitch,2015,16+,7.3/10,70/100
Great Pretender,2020,18+,8.0/10,69/100
InuYasha,2000,16+,7.9/10,69/100
In the Dark,2019,16+,7.5/10,69/100
GHOUL,2018,18+,7.1/10,69/100
Nailed It!,2018,7+,7.4/10,69/100
Voltron: Legendary Defender,2016,7+,8.1/10,69/100
Trollhunters: Tales of Arcadia,2016,7+,8.4/10,69/100
Sweet Magnolias,2020,16+,7.4/10,69/100
Medici: Masters of Florence,2016,7+,7.9/10,69/100
The Innocent,2021,,7.9/10,69/100
Aggretsuko,2018,16+,8.1/10,69/100
Jurassic World: Camp Cretaceous,2020,7+,7.5/10,69/100
Rake,2010,16+,8.5/10,69/100
The Serpent,2021,,7.6/10,69/100
The Gift,2019,18+,7.2/10,69/100
Violet Evergarden,2018,16+,8.5/10,69/100
3Below: Tales of Arcadia,2018,7+,7.7/10,69/100
Jeffrey Epstein: Filthy Rich,2020,18+,7.1/10,69/100
Dawson's Creek,1998,7+,6.6/10,69/100
Private Practice,2007,16+,6.7/10,69/100
Beauty and the Beast,2012,7+,7.0/10,69/100
Daybreak,2019,18+,6.7/10,69/100
Easy,2016,18+,6.9/10,69/100
Behind Her Eyes,2021,18+,7.2/10,68/100
Collateral,2018,18+,6.8/10,68/100
Knightfall,2017,16+,6.8/10,68/100
The Confession Killer,2019,16+,7.4/10,68/100
Sophie: A Murder In West Cork,2021,18+,6.9/10,68/100
Call My Agent!,2015,16+,8.3/10,68/100
My Little Pony: Friendship Is Magic,2010,7+,7.6/10,68/100
Leah Remini: Scientology and the Aftermath,2016,16+,9.0/10,68/100
Containment,2016,16+,7.2/10,68/100
Z Nation,2014,16+,6.7/10,68/100
Emily in Paris,2020,18+,7.0/10,68/100
Victorious,2010,7+,6.9/10,68/100
Scream: The TV Series,2015,16+,7.1/10,68/100
Akame ga Kill!,2014,18+,7.8/10,68/100
Warrior Nun,2020,18+,6.9/10,68/100
Bad Blood,2017,18+,7.5/10,68/100
Young & Hungry,2014,16+,7.4/10,68/100
Caliphate,2020,18+,8.2/10,68/100
'Allo 'Allo!,1984,,8.3/10,68/100
Good Witch,2015,7+,7.3/10,68/100
Gilmore Girls: A Year in the Life,2016,16+,7.6/10,68/100
Aquarius,2015,16+,7.1/10,68/100
Firefly Lane,2021,18+,7.4/10,67/100
White Gold,2017,18+,7.4/10,67/100
Hyperdrive,2019,7+,8.1/10,67/100
Reply 1988,2015,,9.1/10,67/100
Ninjago: Masters of Spinjitzu,2012,all,7.2/10,67/100
Spotless,2015,,7.8/10,67/100
Devilman: Crybaby,2018,,7.6/10,67/100
BEASTARS,2019,18+,7.8/10,67/100
Kill la Kill,2013,18+,7.9/10,67/100
Down to Earth with Zac Efron,2020,7+,8.1/10,67/100
Ancient Aliens,2010,7+,7.2/10,67/100
Slasher,2016,18+,6.7/10,67/100
Ray,2021,,7.3/10,67/100
Time: The Kalief Browder Story,2017,16+,8.5/10,67/100
Away,2020,16+,6.6/10,67/100
No Tomorrow,2016,7+,7.3/10,67/100
Locked Up,2015,18+,8.2/10,67/100
The Frankenstein Chronicles,2015,16+,7.3/10,67/100
The Ranch,2016,16+,7.5/10,67/100
Cursed,2020,18+,5.9/10,67/100
Wu Assassins,2019,18+,6.5/10,67/100
Mr. Sunshine,2018,18+,8.8/10,67/100
The Unicorn,2019,7+,7.2/10,67/100
Anohana: The Flower We Saw That Day,2011,16+,8.2/10,67/100
Alice in Borderland,2020,,7.7/10,67/100
The Challenge,1998,16+,7.7/10,67/100
Gypsy,2017,18+,6.8/10,67/100
Fuller House,2016,7+,6.7/10,67/100
How to Become a Tyrant,2021,,7.4/10,67/100
Killer Inside: The Mind of Aaron Hernandez,2020,18+,7.4/10,67/100
RESIDENT EVIL: Infinite Darkness,2021,18+,5.8/10,67/100
1983,2018,18+,6.8/10,67/100
Wet Hot American Summer: First Day of Camp,2015,16+,7.4/10,67/100
The Baker and the Beauty,2020,16+,7.4/10,67/100
Spinning Out,2020,18+,7.6/10,67/100
Trinkets,2019,18+,7.1/10,67/100
Insatiable,2018,18+,6.5/10,67/100
The Chalet,2018,18+,7.0/10,67/100
We Bare Bears,2015,7+,7.9/10,67/100
Gurren Lagann,2007,16+,8.3/10,66/100
Friends from College,2017,18+,6.9/10,66/100
Jericho,2006,16+,7.3/10,66/100
Tidelands,2018,18+,7.0/10,66/100
Dear White People,2017,18+,6.2/10,66/100
Dare Me,2019,18+,6.7/10,66/100
Ouran High School Host Club,2006,16+,8.2/10,66/100
Scooby-Doo! Mystery Incorporated,2010,7+,8.0/10,66/100
The Untamed,2019,16+,9.0/10,66/100
Stranger,2017,18+,8.6/10,66/100
El Chapo,2017,18+,7.8/10,66/100
Great News,2017,7+,7.0/10,66/100
The Get Down,2016,16+,8.3/10,66/100
The Naked Director,2019,18+,7.7/10,66/100
Rise of Empires: Ottoman,2020,18+,7.9/10,66/100
Club de Cuervos,2015,18+,8.2/10,66/100
My Mister,2018,,9.1/10,66/100
Toradora!,2008,16+,8.0/10,66/100
The Baby-Sitters Club,2020,7+,7.4/10,66/100
Carole & Tuesday,2019,7+,7.9/10,66/100
Van Helsing,2016,16+,6.2/10,66/100
Vincenzo,2021,,8.5/10,66/100
The Night Shift,2014,16+,7.4/10,66/100
"Pablo Escobar, The Drug Lord",2012,18+,8.5/10,66/100
No Game No Life,2014,16+,7.8/10,66/100
The King: Eternal Monarch,2020,16+,8.3/10,66/100
Eden,2021,7+,6.7/10,65/100
Stateless,2020,16+,7.6/10,65/100
High Score,2020,16+,7.4/10,65/100
Hospital Playlist,2020,,8.7/10,65/100
Dash & Lily,2020,7+,8.0/10,65/100
The Confession Tapes,2017,16+,7.5/10,65/100
Black Butler,2008,18+,7.8/10,65/100
The Rain,2018,18+,6.3/10,65/100
Love Is Blind,2020,18+,6.1/10,65/100
Trial by Media,2020,16+,7.2/10,65/100
Wormwood,2017,16+,7.0/10,65/100
Fear City: New York vs The Mafia,2020,18+,7.1/10,65/100
Sorjonen,2016,18+,7.6/10,65/100
Crashing,2016,,7.7/10,65/100
Forged in Fire,2015,7+,8.4/10,65/100
Baby,2018,18+,6.8/10,65/100
Sweet Home,2020,,7.4/10,65/100
The Disastrous Life of Saiki K.,2016,16+,8.3/10,65/100
The Innocence Files,2020,18+,8.0/10,65/100
BNA,2020,16+,7.2/10,65/100
The Mist,2017,16+,5.4/10,65/100
Halston,2021,18+,7.5/10,65/100
Shaun the Sheep,2007,all,8.2/10,65/100
The Universe,2007,16+,8.7/10,65/100
Self Made: Inspired by the Life of Madam C.J. Walker,2020,18+,7.3/10,65/100
Shtisel,2013,16+,8.6/10,65/100
The Boss Baby: Back in Business,2018,7+,6.5/10,65/100
Puella Magi Madoka Magica,2011,16+,8.3/10,65/100
Masameer County,2021,,8.3/10,65/100
Sinatra: All or Nothing at All,2015,7+,8.0/10,65/100
Comedians in Cars Getting Coffee,2012,16+,8.1/10,65/100
Senora Acero,2014,16+,7.1/10,65/100
Dark Tourist,2018,18+,7.5/10,65/100
